iso_code,continent,location,date
AFG,Asia,Afghanistan,2/24/20
AFG,Asia,Afghanistan,2/25/20
AFG,Asia,Afghanistan,2/26/20
AFG,Asia,Afghanistan,2/27/20
AFG,Asia,Afghanistan,2/28/20
AFG,Asia,Afghanistan,2/29/20
AFG,Asia,Afghanistan,3/1/20
AFG,Asia,Afghanistan,3/2/20
AFG,Asia,Afghanistan,3/3/20
AFG,Asia,Afghanistan,3/4/20
AFG,Asia,Afghanistan,3/5/20
AFG,Asia,Afghanistan,3/6/20
AFG,Asia,Afghanistan,3/7/20
AFG,Asia,Afghanistan,3/8/20
AFG,Asia,Afghanistan,3/9/20
AFG,Asia,Afghanistan,3/10/20
AFG,Asia,Afghanistan,3/11/20
AFG,Asia,Afghanistan,3/12/20
AFG,Asia,Afghanistan,3/13/20
AFG,Asia,Afghanistan,3/14/20
AFG,Asia,Afghanistan,3/15/20
AFG,Asia,Afghanistan,3/16/20
AFG,Asia,Afghanistan,3/17/20
AFG,Asia,Afghanistan,3/18/20
AFG,Asia,Afghanistan,3/19/20
AFG,Asia,Afghanistan,3/20/20
AFG,Asia,Afghanistan,3/21/20
AFG,Asia,Afghanistan,3/22/20
AFG,Asia,Afghanistan,3/23/20
AFG,Asia,Afghanistan,3/24/20
AFG,Asia,Afghanistan,3/25/20
AFG,Asia,Afghanistan,3/26/20
AFG,Asia,Afghanistan,3/27/20
AFG,Asia,Afghanistan,3/28/20
AFG,Asia,Afghanistan,3/29/20
AFG,Asia,Afghanistan,3/30/20
AFG,Asia,Afghanistan,3/31/20
AFG,Asia,Afghanistan,4/1/20
AFG,Asia,Afghanistan,4/2/20
AFG,Asia,Afghanistan,4/3/20
AFG,Asia,Afghanistan,4/4/20
AFG,Asia,Afghanistan,4/5/20
AFG,Asia,Afghanistan,4/6/20
AFG,Asia,Afghanistan,4/7/20
AFG,Asia,Afghanistan,4/8/20
AFG,Asia,Afghanistan,4/9/20
AFG,Asia,Afghanistan,4/10/20
AFG,Asia,Afghanistan,4/11/20
AFG,Asia,Afghanistan,4/12/20
AFG,Asia,Afghanistan,4/13/20
AFG,Asia,Afghanistan,4/14/20
AFG,Asia,Afghanistan,4/15/20
AFG,Asia,Afghanistan,4/16/20
AFG,Asia,Afghanistan,4/17/20
AFG,Asia,Afghanistan,4/18/20
AFG,Asia,Afghanistan,4/19/20
AFG,Asia,Afghanistan,4/20/20
AFG,Asia,Afghanistan,4/21/20
AFG,Asia,Afghanistan,4/22/20
AFG,Asia,Afghanistan,4/23/20
AFG,Asia,Afghanistan,4/24/20
AFG,Asia,Afghanistan,4/25/20
AFG,Asia,Afghanistan,4/26/20
AFG,Asia,Afghanistan,4/27/20
AFG,Asia,Afghanistan,4/28/20
AFG,Asia,Afghanistan,4/29/20
AFG,Asia,Afghanistan,4/30/20
AFG,Asia,Afghanistan,5/1/20
AFG,Asia,Afghanistan,5/2/20
AFG,Asia,Afghanistan,5/3/20
AFG,Asia,Afghanistan,5/4/20
AFG,Asia,Afghanistan,5/5/20
AFG,Asia,Afghanistan,5/6/20
AFG,Asia,Afghanistan,5/7/20
AFG,Asia,Afghanistan,5/8/20
AFG,Asia,Afghanistan,5/9/20
AFG,Asia,Afghanistan,5/10/20
AFG,Asia,Afghanistan,5/11/20
AFG,Asia,Afghanistan,5/12/20
AFG,Asia,Afghanistan,5/13/20
AFG,Asia,Afghanistan,5/14/20
AFG,Asia,Afghanistan,5/15/20
AFG,Asia,Afghanistan,5/16/20
AFG,Asia,Afghanistan,5/17/20
AFG,Asia,Afghanistan,5/18/20
AFG,Asia,Afghanistan,5/19/20
AFG,Asia,Afghanistan,5/20/20
AFG,Asia,Afghanistan,5/21/20
AFG,Asia,Afghanistan,5/22/20
AFG,Asia,Afghanistan,5/23/20
AFG,Asia,Afghanistan,5/24/20
AFG,Asia,Afghanistan,5/25/20
AFG,Asia,Afghanistan,5/26/20
AFG,Asia,Afghanistan,5/27/20
AFG,Asia,Afghanistan,5/28/20
AFG,Asia,Afghanistan,5/29/20
AFG,Asia,Afghanistan,5/30/20
AFG,Asia,Afghanistan,5/31/20
AFG,Asia,Afghanistan,6/1/20
AFG,Asia,Afghanistan,6/2/20
AFG,Asia,Afghanistan,6/3/20
AFG,Asia,Afghanistan,6/4/20
AFG,Asia,Afghanistan,6/5/20
AFG,Asia,Afghanistan,6/6/20
AFG,Asia,Afghanistan,6/7/20
AFG,Asia,Afghanistan,6/8/20
AFG,Asia,Afghanistan,6/9/20
AFG,Asia,Afghanistan,6/10/20
AFG,Asia,Afghanistan,6/11/20
AFG,Asia,Afghanistan,6/12/20
AFG,Asia,Afghanistan,6/13/20
AFG,Asia,Afghanistan,6/14/20
AFG,Asia,Afghanistan,6/15/20
AFG,Asia,Afghanistan,6/16/20
AFG,Asia,Afghanistan,6/17/20
AFG,Asia,Afghanistan,6/18/20
AFG,Asia,Afghanistan,6/19/20
AFG,Asia,Afghanistan,6/20/20
AFG,Asia,Afghanistan,6/21/20
AFG,Asia,Afghanistan,6/22/20
AFG,Asia,Afghanistan,6/23/20
AFG,Asia,Afghanistan,6/24/20
AFG,Asia,Afghanistan,6/25/20
AFG,Asia,Afghanistan,6/26/20
AFG,Asia,Afghanistan,6/27/20
AFG,Asia,Afghanistan,6/28/20
AFG,Asia,Afghanistan,6/29/20
AFG,Asia,Afghanistan,6/30/20
AFG,Asia,Afghanistan,7/1/20
AFG,Asia,Afghanistan,7/2/20
AFG,Asia,Afghanistan,7/3/20
AFG,Asia,Afghanistan,7/4/20
AFG,Asia,Afghanistan,7/5/20
AFG,Asia,Afghanistan,7/6/20
AFG,Asia,Afghanistan,7/7/20
AFG,Asia,Afghanistan,7/8/20
AFG,Asia,Afghanistan,7/9/20
AFG,Asia,Afghanistan,7/10/20
AFG,Asia,Afghanistan,7/11/20
AFG,Asia,Afghanistan,7/12/20
AFG,Asia,Afghanistan,7/13/20
AFG,Asia,Afghanistan,7/14/20
AFG,Asia,Afghanistan,7/15/20
AFG,Asia,Afghanistan,7/16/20
AFG,Asia,Afghanistan,7/17/20
AFG,Asia,Afghanistan,7/18/20
AFG,Asia,Afghanistan,7/19/20
AFG,Asia,Afghanistan,7/20/20
AFG,Asia,Afghanistan,7/21/20
AFG,Asia,Afghanistan,7/22/20
AFG,Asia,Afghanistan,7/23/20
AFG,Asia,Afghanistan,7/24/20
AFG,Asia,Afghanistan,7/25/20
AFG,Asia,Afghanistan,7/26/20
AFG,Asia,Afghanistan,7/27/20
AFG,Asia,Afghanistan,7/28/20
AFG,Asia,Afghanistan,7/29/20
AFG,Asia,Afghanistan,7/30/20
AFG,Asia,Afghanistan,7/31/20
AFG,Asia,Afghanistan,8/1/20
AFG,Asia,Afghanistan,8/2/20
AFG,Asia,Afghanistan,8/3/20
AFG,Asia,Afghanistan,8/4/20
AFG,Asia,Afghanistan,8/5/20
AFG,Asia,Afghanistan,8/6/20
AFG,Asia,Afghanistan,8/7/20
AFG,Asia,Afghanistan,8/8/20
AFG,Asia,Afghanistan,8/9/20
AFG,Asia,Afghanistan,8/10/20
AFG,Asia,Afghanistan,8/11/20
AFG,Asia,Afghanistan,8/12/20
AFG,Asia,Afghanistan,8/13/20
AFG,Asia,Afghanistan,8/14/20
AFG,Asia,Afghanistan,8/15/20
AFG,Asia,Afghanistan,8/16/20
AFG,Asia,Afghanistan,8/17/20
AFG,Asia,Afghanistan,8/18/20
AFG,Asia,Afghanistan,8/19/20
AFG,Asia,Afghanistan,8/20/20
AFG,Asia,Afghanistan,8/21/20
AFG,Asia,Afghanistan,8/22/20
AFG,Asia,Afghanistan,8/23/20
AFG,Asia,Afghanistan,8/24/20
AFG,Asia,Afghanistan,8/25/20
AFG,Asia,Afghanistan,8/26/20
AFG,Asia,Afghanistan,8/27/20
AFG,Asia,Afghanistan,8/28/20
AFG,Asia,Afghanistan,8/29/20
AFG,Asia,Afghanistan,8/30/20
AFG,Asia,Afghanistan,8/31/20
AFG,Asia,Afghanistan,9/1/20
AFG,Asia,Afghanistan,9/2/20
AFG,Asia,Afghanistan,9/3/20
AFG,Asia,Afghanistan,9/4/20
AFG,Asia,Afghanistan,9/5/20
AFG,Asia,Afghanistan,9/6/20
AFG,Asia,Afghanistan,9/7/20
AFG,Asia,Afghanistan,9/8/20
AFG,Asia,Afghanistan,9/9/20
AFG,Asia,Afghanistan,9/10/20
AFG,Asia,Afghanistan,9/11/20
AFG,Asia,Afghanistan,9/12/20
AFG,Asia,Afghanistan,9/13/20
AFG,Asia,Afghanistan,9/14/20
AFG,Asia,Afghanistan,9/15/20
AFG,Asia,Afghanistan,9/16/20
AFG,Asia,Afghanistan,9/17/20
AFG,Asia,Afghanistan,9/18/20
